filename,center_x,center_y,radius_x,radius_y
2024_04_04_13_08_IMG_4898 RE MOD NPDR_frame_1555.png,922.0,988.0,553.0,540.0
2024_04_04_13_10_IMG_4899 LE MILD NPDR_frame_1491.png,909.0,1063.0,547.0,548.0
2024_04_04_14_40_IMG_4905 RE MILD NPDR_frame_1158.png,1031.0,1023.0,536.0,523.0
2024_04_05_10_17_IMG_4918 LE MACULAR DEGENERATION_frame_779.png,916.0,1029.0,559.0,555.0
2024_04_05_10_24_IMG_4919 RE LASERED PDR_frame_1106.png,836.0,1016.0,573.0,574.0
2024_04_05_10_57_IMG_4922 RE PDR WITH FVP_frame_877.png,961.0,1063.0,540.0,544.0
2024_04_05_10_58_IMG_4923 LE SEV NPDR_frame_1262.png,898.0,1063.0,532.0,538.0
2024_04_05_11_49_IMG_4926 LE FVP_frame_1485.png,907.0,1040.0,519.0,521.0
2024_04_05_12_51_IMG_4927 RE HEALTHY_frame_1945.png,1018.0,1012.0,475.0,487.0
2024_04_05_12_54_IMG_4928 LE HEALTHY_frame_1575.png,943.0,952.0,491.0,480.0
2024_04_05_13_16_IMG_4931 RE SEV NPDR_frame_1559.png,1096.0,995.0,496.0,493.0
2024_04_05_13_18_IMG_4932 LE SEV NPDR_frame_1517.png,943.0,1003.0,490.0,482.0
2024_04_05_13_29_IMG_4933 RE HEALTHY_frame_1527.png,950.0,950.0,512.0,510.0
2024_04_05_13_37_IMG_4934 LE HEALTHY_frame_1362.png,858.0,1091.0,518.0,516.0
"2024_04_06_10_27_IMG_4937 RE CR ATROPHY, ERM_frame_1583.png",898.0,999.0,521.0,531.0
2024_04_06_10_29_IMG_4938 LE MUTIPLE CHORIORETINAL PATCHES_frame_1586.png,883.0,952.0,530.0,521.0
2024_04_06_10_38_IMG_4939 RE TRD WITH MACULAR SCHIESIS_frame_771.png,946.0,1023.0,515.0,513.0
2024_04_06_10_39_IMG_4940 LE FTMH_frame_1741.png,879.0,1051.0,517.0,513.0
2024_04_06_11_17_IMG_4941 RE SEV NPDR_frame_1057.png,973.0,1025.0,561.0,562.0
2024_04_06_11_18_IMG_4942 LE PDR WITH DME_frame_989.png,862.0,1027.0,549.0,547.0
2024_04_06_11_48_IMG_4944 RE MOD NPDR_frame_1518.png,954.0,978.0,478.0,483.0
2024_04_06_11_50_IMG_4945 LE ASTEROID HYALOSIS_frame_931.png,961.0,997.0,487.0,482.0
2024_04_11_13_32_IMG_4947 RE MOD NPDR_frame_1018.png,978.0,971.0,453.0,454.0
2024_04_11_13_34_IMG_4948 LE MOD NPDR_frame_1242.png,843.0,991.0,452.0,451.0
2024_04_11_15_09_IMG_4952 LE HEALTHY_frame_1661.png,856.0,958.0,454.0,443.0
2024_04_11_15_12_IMG_4953 RE HEALTHY_frame_702.png,894.0,969.0,459.0,456.0
2024_04_11_15_21_IMG_4954 RE SEV NPDR_frame_2036.png,888.0,967.0,486.0,480.0
2024_04_11_15_23_IMG_4955 LE PDR_frame_1606.png,834.0,892.0,487.0,491.0
2024_04_11_15_27_IMG_4956 RE MILD NPDR_frame_1536.png,828.0,967.0,450.0,454.0
2024_04_11_15_29_IMG_4957 LE ERM_frame_1323.png,789.0,993.0,457.0,450.0
2024_04_12_11_22_IMG_4958 RE MOD NPDR_frame_1866.png,894.0,946.0,420.0,418.0
2024_04_12_11_24_IMG_4959 LE MOD NPDR_frame_1979.png,909.0,1044.0,410.0,416.0
2024_04_12_11_40_IMG_4960 RE HEALTHY_frame_1698.png,819.0,943.0,598.0,606.0
2024_04_12_12_03_IMG_4961 RE HEALTHY_frame_1549.png,879.0,965.0,515.0,512.0
2024_04_12_12_58_IMG_4966 RE TRD_frame_2032.png,836.0,948.0,485.0,487.0
2024_04_12_13_02_IMG_4967 LE PDR OIL PLACED_frame_1544.png,881.0,958.0,483.0,482.0
2024_04_12_13_10_IMG_4968 LE SCAR+_frame_2030.png,849.0,1038.0,397.0,408.0
2024_04_12_13_22_IMG_4969 RE HEALTHY_frame_1517.png,834.0,982.0,519.0,517.0
2024_04_12_13_24_IMG_4970 LE HEALTHY_frame_1852.png,980.0,901.0,508.0,511.0
2024_04_12_13_30_IMG_4971 RE HIGH MYOP_frame_1809.png,815.0,888.0,510.0,519.0
2024_04_12_13_32_IMG_4972 LE HIGH MYOP_frame_1574.png,868.0,946.0,504.0,513.0
2024_04_30_11_53_IMG_5009 RE HEALTHY_frame_1363.png,1063.0,1006.0,527.0,543.0
2024_04_30_11_56_IMG_5010 LE HEALTHY_frame_1367.png,988.0,1149.0,529.0,536.0
2024_04_30_12_16_IMG_5012 RE HEALTHY_frame_1681.png,1023.0,1014.0,628.0,613.0
2024_04_30_12_19_IMG_5013 LE HEALTHY_frame_1455.png,967.0,971.0,630.0,615.0
2024_04_30_12_44_IMG_5014 RE SEV NPDR_frame_2511.png,871.0,1091.0,542.0,542.0
2024_04_30_12_48_IMG_5016 SEV NPDR_frame_2548.png,821.0,1012.0,543.0,544.0
2024_05_06_12_30_IMG_3269 RE Healthy_frame_1120.png,907.0,976.0,562.0,541.0
2024_05_06_12_31_IMG_3270 LE HEALTHY_frame_1155.png,838.0,978.0,513.0,521.0
2024_05_06_12_38_IMG_3271 RE MILD NPDR_frame_967.png,901.0,995.0,548.0,560.0
2024_05_06_12_40_IMG_3272 LE MOD NPDR_frame_1648.png,888.0,1003.0,540.0,550.0
2024_05_06_14_02_IMG_3273 RE PDR_frame_1826.png,858.0,1128.0,514.0,521.0
2024_05_06_14_05_IMG_3274 LE PDR WITH FVP_frame_1897.png,937.0,1196.0,647.0,636.0
"2024_05_07_12_33_IMG_5029 RE PDR, TRD_frame_1130.png",877.0,868.0,594.0,583.0
2024_05_07_12_35_IMG_5030 LE PDR TRD_frame_1919.png,787.0,913.0,585.0,568.0
2024_05_07_12_43_IMG_5031 RE HEALTHY_frame_1490.png,766.0,796.0,585.0,560.0
2024_05_07_12_45_IMG_5032 LE HEALTHY_frame_1815.png,770.0,1006.0,576.0,564.0
2024_05_07_12_59_IMG_5033 RE MOD NPDR_frame_1458.png,931.0,952.0,544.0,553.0
2024_05_07_13_01_IMG_5034 LE MOD NPDR_frame_1411.png,684.0,886.0,568.0,553.0
2024_05_08_10_34_IMG_5035 RE PDR WITH FVP_frame_1008.png,916.0,1117.0,508.0,504.0
2024_05_08_10_36_IMG_5036 LE SEVERE NPDR_frame_1977.png,770.0,1066.0,489.0,500.0
2024_05_08_11_04_IMG_5037 RE SEV NPDR_frame_2146.png,836.0,1029.0,504.0,499.0
2024_05_08_11_07_IMG_5038 LE PDR WITH CME_frame_2063.png,778.0,1051.0,511.0,508.0
2024_05_08_11_48_IMG_5039 RE HEALTHY_frame_1796.png,881.0,931.0,510.0,498.0
2024_05_08_11_54_IMG_5040 RE HEALTHY_frame_1917.png,933.0,913.0,634.0,600.0
2024_05_08_11_59_IMG_5042 LE HEALTHY_frame_1349.png,729.0,980.0,497.0,497.0
2024_05_08_12_04_IMG_5043 RE ADV AMD_frame_1464.png,1143.0,1057.0,457.0,457.0
"2024_05_08_12_06_IMG_5044 LE MILD NPDR, ERLY AMD_frame_1793.png",971.0,1117.0,461.0,457.0
2024_05_09_12_31_IMG_5047 RE LATTICLEWITH RETINAL HOLE_frame_1796.png,808.0,931.0,611.0,594.0
2024_05_09_12_34_IMG_5048 RE HEALTHY_frame_1514.png,903.0,993.0,619.0,598.0
2024_05_09_12_46_IMG_5049 RE DRUSEN+_frame_1440.png,984.0,1025.0,544.0,542.0
2024_05_09_12_48_IMG_5050 LE DRUSEN+_frame_1611.png,967.0,913.0,529.0,531.0
2024_05_09_12_56_IMG_5051 RE HEALTHY_frame_1922.png,988.0,1053.0,557.0,562.0
2024_05_09_12_59_IMG_5052 LE ERM_frame_2206.png,868.0,1001.0,562.0,557.0
2024_05_09_13_06_IMG_5053 RE HEALTHY_frame_1077.png,961.0,1029.0,596.0,594.0
2024_05_09_13_10_IMG_5054 LE ERM PRESENT_frame_1402.png,892.0,1046.0,538.0,531.0
2024_05_09_13_19_IMG_5055 RE RPE ALTERNATIONS_frame_1329.png,1012.0,954.0,529.0,540.0
2024_05_09_13_20_IMG_5056 LE RPE ALTERATIONS_frame_1626.png,881.0,1044.0,532.0,529.0
2024_05_09_13_25_IMG_5057 RE HEALTHY_frame_1387.png,948.0,1027.0,545.0,542.0
2024_05_09_13_27_IMG_5058 LE HEALTHY_frame_1388.png,875.0,1036.0,542.0,547.0
2024_05_09_13_36_IMG_5059 RE ERM_frame_1382.png,995.0,1051.0,493.0,496.0
2024_05_09_13_38_IMG_5060 LE ERM_frame_1162.png,954.0,1072.0,502.0,497.0
2024_05_09_13_42_IMG_5061 RE HEALTHY_frame_1451.png,770.0,950.0,611.0,602.0
2024_05_09_13_44_IMG_5062 LE HEALTHY_frame_2380.png,890.0,1016.0,611.0,617.0
2024_05_09_13_53_IMG_5063 RE HEALTHY_frame_1776.png,864.0,982.0,622.0,641.0
2024_05_09_13_55_IMG_5064 LE HEALTHY_frame_1722.png,984.0,1055.0,641.0,620.0
2024_05_09_14_01_IMG_5065 RE HEALTHY_frame_1661.png,937.0,1003.0,598.0,593.0
2024_05_09_14_03_IMG_5066 LE HEALTHY_frame_1338.png,804.0,1048.0,577.0,589.0
2024_05_31_12_01_IMG_3428 LE STBRVO WITH CME_frame_1744.png,849.0,963.0,476.0,470.0
2024_05_31_12_08_IMG_3429  RE WET AMD_frame_1320.png,967.0,969.0,512.0,510.0
2024_05_31_12_09_IMG_3430 LE WET AMD_frame_1680.png,991.0,1014.0,523.0,525.0
2024_05_31_12_59_IMG_3431 RE MOD NPDR_frame_1565.png,864.0,894.0,545.0,540.0
2024_05_31_13_01_IMG_3432 LE MOD NPDR_frame_1772.png,890.0,954.0,561.0,544.0
2024_05_31_14_10_IMG_3433 RE HEALTHY_frame_1683.png,997.0,1113.0,628.0,637.0
2024_05_31_14_12_IMG_3434 LE HEALTHY_frame_1400.png,952.0,1145.0,628.0,628.0
2024_06_03_09_55_IMG_3438 RE PDR+ME+VH_frame_1547.png,971.0,1059.0,544.0,555.0
2024_06_03_09_57_IMG_3439 LE PDR+ NON CIDME_frame_2199.png,961.0,1087.0,560.0,542.0
2024_06_03_10_05_IMG_3440 RE PDR_frame_1928.png,999.0,1006.0,516.0,506.0
2024_06_03_10_07_IMG_3441 LE PDR +NONCIDME_frame_1816.png,890.0,1040.0,512.0,504.0
2024_06_03_10_36_IMG_3442 RESEV NPDR_frame_1795.png,988.0,1192.0,540.0,525.0
2024_06_03_10_38_IMG_3443 LE SEV NPDR_frame_1582.png,836.0,1036.0,508.0,517.0
2024_06_03_11_12_IMG_3444 RE MOD NPDR_frame_2768.png,1055.0,1241.0,517.0,538.0
2024_06_03_11_19_IMG_3445 LE MOD NPDR_frame_2547.png,875.0,1106.0,555.0,544.0
2024_06_05_09_33_IMG_3448 RE PDR_frame_1232.png,879.0,1036.0,635.0,620.0
2024_06_05_09_35_IMG_3449 LE PDR+CRVO WITH VH_frame_1342.png,881.0,1171.0,630.0,631.0
2024_06_05_10_00_IMG_3450 PDR WITH DME_frame_1400.png,907.0,1055.0,596.0,600.0
2024_06_05_10_02_IMG_3451 PDR WITH DME_frame_2426.png,716.0,1038.0,607.0,600.0
2024_06_05_10_24_IMG_3454 LE HEALTHY_frame_1943.png,789.0,1033.0,482.0,497.0
2024_06_05_10_38_IMG_3455 RE PDR_frame_3091.png,903.0,1033.0,576.0,574.0
2024_06_05_10_42_IMG_3456 LE PDR_frame_1743.png,916.0,907.0,578.0,577.0
2024_06_06_10_41_IMG_3457 RE PDR WITH TRD_frame_2025.png,896.0,991.0,536.0,530.0
2024_06_06_10_44_IMG_3458 LE PDR_frame_2265.png,856.0,958.0,518.0,535.0
2024_06_06_10_55_IMG_3459 RE MOD NPDR_frame_2273.png,926.0,988.0,536.0,548.0
2024_06_06_10_58_IMG_3460 LE MOD NPDR WITH CIDME_frame_1784.png,832.0,1087.0,542.0,540.0
2024_06_06_11_57_IMG_3461 RE PDR_frame_1337.png,1023.0,1018.0,523.0,508.0
2024_06_06_11_59_IMG_3462 LE PDR_frame_1294.png,856.0,1040.0,508.0,504.0
2024_06_06_13_04_IMG_3463 RE PDR +CIDME_frame_2093.png,1036.0,999.0,577.0,572.0
2024_06_06_13_07_IMG_3464 LE PDR_frame_2945.png,1023.0,946.0,588.0,575.0
2024_06_07_10_51_IMG_3465 RE HEALTHY_frame_870.png,984.0,1014.0,609.0,606.0
2024_06_07_10_52_IMG_3466 LE DRUSEN+_frame_1820.png,811.0,993.0,598.0,598.0
2024_06_07_11_02_IMG_3467 HEALTHY_frame_1483.png,988.0,965.0,640.0,654.0
2024_06_07_11_04_IMG_3468 LE RVO TRACT ON DISC_frame_1315.png,894.0,967.0,590.0,568.0
2024_06_07_11_20_IMG_3469 RE ATYPICAL PDR_frame_1412.png,950.0,1046.0,598.0,598.0
2024_06_07_11_22_IMG_3470 LE LASERED FUNDUS_frame_1303.png,847.0,1063.0,611.0,606.0
2024_06_07_11_32_IMG_3471 RE HEALTHY_frame_1278.png,928.0,1091.0,581.0,583.0
2024_06_07_11_34_IMG_3472 LE HEALTHY_frame_1123.png,873.0,1087.0,619.0,585.0
2024_06_07_11_42_IMG_3473 RE PDR_frame_948.png,1033.0,971.0,583.0,587.0
2024_06_07_11_43_IMG_3474 LE PDR TRD WITH CRAO_frame_2196.png,881.0,1119.0,577.0,581.0
2024_06_07_11_49_IMG_3475 RE PDR PROLIF ON DISC_frame_1664.png,907.0,1040.0,506.0,508.0
2024_06_07_11_52_IMG_3476 LE PDR ISCHEMIC MACULA_frame_2170.png,939.0,1158.0,506.0,528.0
2024_06_13_11_34_IMG_3477 RE HEALTHY_frame_1630.png,961.0,1083.0,513.0,515.0
2024_06_13_11_36_IMG_3478 LE HEALTHY_frame_1813.png,851.0,1046.0,530.0,512.0
2024_06_13_12_28_IMG_3480 RE HEALTHY_frame_2002.png,928.0,1081.0,588.0,581.0
2024_06_13_12_31_IMG_3481 LE HEALTHY_frame_1679.png,858.0,986.0,593.0,574.0
2024_06_13_12_40_IMG_3482 RE HEALTHY_frame_1014.png,834.0,943.0,654.0,647.0
2024_06_13_12_42_IMG_3484 LE HEALTHY_frame_946.png,907.0,1072.0,654.0,643.0
2024_06_13_12_56_IMG_3486 RE SEV NPDR_frame_1559.png,939.0,1010.0,639.0,641.0
2024_06_13_12_58_IMG_3487 LE MOD NPDR_frame_2132.png,832.0,1044.0,656.0,643.0
2024_06_14_10_57_IMG_3488_frame_1977.png,978.0,969.0,609.0,596.0
2024_06_14_11_00_IMG_3489_frame_1886.png,877.0,1006.0,592.0,590.0
2024_06_14_11_43_IMG_3490_frame_1172.png,1091.0,976.0,523.0,530.0
2024_06_14_11_45_IMG_3491_frame_2860.png,888.0,1006.0,540.0,532.0
2024_06_14_11_52_IMG_3492_frame_1017.png,971.0,886.0,521.0,526.0
2024_06_14_11_53_IMG_3493_frame_1846.png,997.0,1023.0,536.0,528.0
2024_06_14_11_58_IMG_3494_frame_1163.png,1012.0,973.0,542.0,548.0
2024_06_14_11_59_IMG_3495_frame_1710.png,956.0,958.0,555.0,548.0
2024_06_14_12_08_IMG_3496_frame_1470.png,967.0,1006.0,538.0,545.0
2024_06_14_12_10_IMG_3497_frame_878.png,894.0,952.0,547.0,540.0
2024_06_14_12_26_IMG_3498_frame_1464.png,1098.0,993.0,517.0,517.0
2024_06_14_12_29_IMG_3499_frame_2805.png,888.0,939.0,527.0,523.0
2024_06_14_12_39_IMG_3500_frame_1136.png,980.0,991.0,566.0,577.0
2024_06_14_12_41_IMG_3501_frame_1458.png,916.0,1087.0,576.0,585.0
2024_06_14_13_19_IMG_3502_frame_1250.png,1008.0,973.0,675.0,666.0
2024_06_14_13_21_IMG_3503_frame_1518.png,969.0,943.0,686.0,677.0
IMG_2500 RE NO DR CHANGES_frame_329.png,935.0,982.0,482.0,478.0
IMG_2501 LE NO DR CHANGES_frame_361.png,958.0,1008.0,475.0,483.0
IMG_2502 RE NO DR CHANGES_frame_659.png,980.0,946.0,480.0,485.0
IMG_2503 LE ERM+_frame_898.png,888.0,971.0,480.0,482.0
IMG_2506 RE DME_frame_112.png,946.0,1006.0,478.0,487.0
IMG_2512 RE MOD NPDR WITH CDME_frame_1073.png,941.0,1029.0,378.0,379.0
IMG_2515 RE PDR WITH FVP_frame_454.png,948.0,943.0,414.0,424.0
IMG_2516 RE PDR WITH FVP_frame_1315.png,931.0,963.0,416.0,412.0
IMG_2517 LE RETINA DEGENERATION_frame_1406.png,888.0,950.0,418.0,420.0
IMG_2519 RE HEALTHY_frame_1309.png,879.0,1010.0,354.0,356.0
IMG_2521 LE MACULA SCAR HE_frame_1859.png,862.0,973.0,354.0,355.0
IMG_2524 RE SEV NPDR_frame_1158.png,967.0,933.0,439.0,446.0
IMG_2525 LE  SEV NPDR_frame_1142.png,881.0,924.0,442.0,435.0
IMG_2533 RE HEALTHY_frame_832.png,948.0,999.0,435.0,444.0
IMG_2536 LE HEALTHY_frame_804.png,916.0,937.0,435.0,429.0
IMG_2542 RE MOD NPDR_frame_1267.png,956.0,1025.0,438.0,435.0
IMG_2544 LE MOD NPDR_frame_2346.png,883.0,935.0,448.0,448.0
IMG_2548 RE ERM+_frame_2763.png,1006.0,1003.0,457.0,454.0
IMG_2549 LE HEALTHY_frame_1897.png,894.0,980.0,459.0,457.0
IMG_2552 RE HEALTHY_frame_726.png,903.0,1010.0,446.0,446.0
IMG_2553 LE ERM+_frame_1087.png,817.0,952.0,448.0,442.0
IMG_2556 LE HEALTHY_frame_1473.png,877.0,991.0,416.0,414.0
IMG_2578 RE SEV NPDR + ERM_frame_216.png,935.0,997.0,403.0,401.0
IMG_2581 LE MILD NPDR_frame_571.png,860.0,950.0,396.0,390.0
IMG_2582 RE NPDR WITH DME_frame_1000.png,950.0,997.0,471.0,487.0
IMG_2587 RE HEALTHY_frame_568.png,958.0,993.0,401.0,412.0
IMG_2588 RE ERM_frame_688.png,950.0,997.0,418.0,412.0
IMG_2590 LE HEALTHY_frame_859.png,909.0,982.0,416.0,407.0
IMG_2591 LE HA+_frame_1517.png,939.0,1014.0,420.0,418.0
IMG_2593 RE SEV NPDR WITH DME_frame_1210.png,935.0,982.0,455.0,461.0
IMG_2594 LE MILD NPDR_frame_1245.png,875.0,961.0,452.0,455.0
IMG_2595 RE MACULA SCAR_frame_1137.png,935.0,1096.0,437.0,442.0
IMG_2596 ERM+ DRUSENS_frame_1965.png,978.0,1066.0,467.0,453.0
IMG_2597 RE MACULAR SCAR_frame_468.png,909.0,1096.0,446.0,438.0
IMG_2599 RE HEALTHY_frame_1292.png,924.0,1108.0,437.0,422.0
IMG_2600 LE HEALTHY_frame_1042.png,907.0,1098.0,435.0,420.0
IMG_2601 DRUSEN+_frame_921.png,905.0,1042.0,429.0,424.0
IMG_2604 RE HEALTHY_frame_1400.png,922.0,1076.0,392.0,398.0
IMG_2605 LE HEALTHY_frame_1266.png,881.0,1078.0,396.0,400.0
IMG_2606 RE TRD+ FVP_frame_201.png,888.0,982.0,408.0,405.0
IMG_2607 RE PDE FVP_frame_1780.png,875.0,973.0,412.0,409.0
IMG_2608 LE PDR WITH SCLEROSED VESSEL_frame_1595.png,871.0,1001.0,411.0,413.0
IMG_2610 RE TORTOUS VESSEL_frame_561.png,916.0,1001.0,401.0,398.0
IMG_2611 RE  NO DR CHANGES_frame_768.png,886.0,984.0,397.0,394.0
IMG_2612 LE TORTOUSED VESSEL+_frame_1546.png,841.0,969.0,390.0,394.0
IMG_2614 RE DME_frame_991.png,922.0,986.0,347.0,349.0
IMG_2615 LE LASER SCARS+_frame_1314.png,868.0,991.0,380.0,388.0
IMG_2616 RE LASER SCAR + PHERIPHERAL_frame_1270.png,778.0,926.0,384.0,381.0
IMG_2618 RE MH_frame_2102.png,916.0,980.0,370.0,375.0
IMG_2620 RE MILD NPDR_frame_1743.png,907.0,948.0,369.0,369.0
IMG_2621 LE MILD NPDR_frame_2013.png,890.0,986.0,373.0,375.0
IMG_2623 LE HEALTHY_frame_907.png,821.0,973.0,403.0,394.0
IMG_2632 RE TRD_frame_1683.png,943.0,937.0,475.0,482.0
IMG_2634 RE SEV NPDR_frame_714.png,933.0,1023.0,438.0,435.0
IMG_2635 LE NO DR CHANGES_frame_1109.png,868.0,993.0,431.0,429.0
IMG_2638 RE NO DR CHANGES_frame_917.png,909.0,993.0,390.0,399.0
IMG_2641 LE  SCARS+_frame_1379.png,905.0,948.0,392.0,393.0
IMG_2703 LE HEALTHY_frame_986.png,802.0,1003.0,433.0,437.0
IMG_2704 LE HEALTHY_frame_1820.png,804.0,1023.0,452.0,450.0
IMG_2705 RE NO DR CHANGES_frame_553.png,956.0,1031.0,367.0,364.0
IMG_2707 RE HEALTHY_frame_1558.png,956.0,1051.0,420.0,416.0
IMG_2708 LE HEALTHY_frame_1368.png,931.0,1038.0,416.0,420.0
IMG_2711 RE AMD_frame_1805.png,916.0,991.0,412.0,414.0
IMG_2716 LE NO DR CHANGES_frame_503.png,995.0,1091.0,401.0,401.0
IMG_2718 RE CRVO_frame_980.png,918.0,1051.0,420.0,412.0
IMG_2719 LE DRUSENS+_frame_1711.png,978.0,1059.0,425.0,411.0
IMG_2721 RE HEALTHY_frame_1883.png,976.0,1078.0,448.0,443.0
IMG_2722 RE HEALTHY_frame_1207.png,973.0,1055.0,454.0,444.0
IMG_2726 RE HEALTHY_frame_1303.png,1046.0,1096.0,448.0,440.0
IMG_2867 RE HEALTHY_frame_1216.png,952.0,986.0,388.0,383.0
IMG_2868 LE HA_frame_596.png,853.0,1003.0,378.0,375.0
IMG_2869 RE NO DR CHANGES_frame_1832.png,922.0,978.0,429.0,438.0
IMG_2871 RE NO DR CHANGES_frame_1760.png,956.0,1003.0,463.0,471.0
IMG_2872 LE NO DR CHANGES_frame_1318.png,843.0,1010.0,465.0,467.0
IMG_2888 LE HEALTHY_frame_975.png,838.0,980.0,457.0,461.0
IMG_2889 RE ASTERIOD SCLEROSIS_frame_1045.png,903.0,1016.0,476.0,476.0
IMG_2890 LE HEALTHY_frame_1337.png,907.0,1003.0,461.0,467.0
IMG_2892 RE HEALTHY_frame_1076.png,941.0,1006.0,461.0,459.0
IMG_2893 LE NO DR CHANGES_frame_1658.png,933.0,1027.0,469.0,478.0
